,0
0,-5.44416
1,-5.44601
2,-5.4753
3,-5.71904
4,-5.73334
5,-5.7695
6,-5.89562
7,-5.54498
8,-5.06868
9,-5.83051
10,-5.39958
11,-5.5704
12,-5.2999
13,-5.95468
14,-5.68617
15,-5.25758
16,-5.49857
17,-6.37546
18,-5.32419
19,-5.95859
20,-6.10544
21,-5.69903
22,-6.39407
23,-6.33452
24,-5.77171
25,-5.97611
26,-5.64769
27,-5.47037
28,-6.10491
29,-5.78881
30,-6.25161
31,-5.22711
32,-5.79014
33,-5.39092
34,-5.50006
35,-5.12496
36,-5.35076
37,-4.94698
38,-4.47208
39,-5.85626
40,-5.34881
41,-4.43494
42,-6.16556
43,-4.57488
44,-5.77001
45,-5.24415
46,-4.27662
47,-4.30765
48,-5.02575
49,-5.29046
50,-5.83215
51,-5.47658
52,-5.43041
53,-5.36333
54,-4.9282
55,-5.49279
56,-5.87974
57,-5.5233
58,-5.96245
59,-6.2001
60,-5.73519
61,-6.08986
62,-5.93562
63,-5.33468
64,-5.98833
65,-6.45324
66,-6.105
67,-6.12651
68,-6.00409
69,-6.07556
70,-5.94704
71,-5.87315
72,-5.44697
73,-4.83505
74,-5.8911
75,-5.48059
76,-6.07882
77,-5.7245
78,-6.11987
79,-6.23642
80,-5.90854
81,-6.25031
82,-5.66126
83,-5.53837
84,-5.44834
85,-5.91836
86,-6.01091
87,-6.01021
88,-5.85332
89,-6.01529
90,-5.34369
91,-5.51807
92,-5.79982
93,-6.0586
94,-5.20802
95,-6.62197
96,-6.19904
97,-6.21083
98,-5.81133
99,-5.49238
100,-6.10422
101,-6.18721
102,-5.81415
103,-5.76571
104,-6.5517
105,-6.0842
106,-6.01429
107,-5.57385
108,-5.67111
109,-5.83397
110,-5.95159
111,-5.7909
112,-7.01856
113,-6.37745
114,-5.75869
115,-5.78492
116,-5.63646
117,-5.80523
118,-6.34737
119,-5.51354
120,-6.42389
121,-6.23968
122,-5.93481
123,-6.73536
124,-5.46159
125,-5.52257
126,-5.26647
127,-5.20557
128,-5.33151
129,-6.30787
130,-5.4052
131,-6.16897
132,-5.76601
133,-5.08297
134,-5.02704
135,-4.98502
136,-4.44891
137,-4.85721
138,-4.78561
139,-4.76135
140,-4.67657
141,-4.4028
142,-4.78139
143,-4.69723
144,-4.97067
145,-5.24417
146,-5.33751
147,-5.10071
148,-5.13669
149,-5.17656
150,-5.07205
151,-5.4898
152,-5.42624
