,0
0,0.313798219
1,0.3119191229
2,0.3008215129
3,0.3746699095
4,0.322148174
5,0.4171401262
6,0.3016278744
7,0.2787566483
8,0.3260598779
9,0.4110057652
10,0.2671795785
11,0.3818482757
12,0.2158375233
13,0.3839222491
14,0.3153397739
15,0.3755024076
16,0.3161408305
17,0.2949115038
18,0.3685652316
19,0.2869633138
20,0.462269187
21,0.3329159021
22,0.4175829291
23,0.2739514112
24,0.2981284857
25,0.395942688
26,0.2385724485
27,0.2222852707
28,0.2381843328
29,0.3218332231
30,0.4561552405
31,0.3127283752
32,0.3154990673
33,0.3291350007
34,0.4469070733
35,0.3976452649
36,0.4502133727
37,0.4289300144
38,0.2317407727
39,0.3562009037
40,0.256637305
41,0.3011129498
42,0.4555820525
43,0.2372372001
44,0.4495297968
45,0.220407322
46,0.281008929
47,0.2314717323
48,0.332370013
49,0.3538953066
50,0.3566371799
51,0.2297954857
52,0.3564250469
53,0.3270758092
54,0.3216556311
55,0.2775779366
56,0.4755179882
57,0.4447456598
58,0.3349612057
59,0.2971183658
60,0.361851424
61,0.3705096245
62,0.3237319887
63,0.2782522738
64,0.3864106834
65,0.4530565143
66,0.2976690233
67,0.3317754865
68,0.3518657088
69,0.2993312776
70,0.3965285122
71,0.2910184562
72,0.33891958
73,0.2516792715
74,0.4766877592
75,0.2505257726
76,0.3268783987
77,0.4214081168
78,0.3491969705
79,0.3124902844
80,0.3887708187
81,0.3490467966
82,0.2766096294
83,0.2884477079
84,0.2028320134
85,0.405934453
86,0.3254784942
87,0.3514418006
88,0.3859616518
89,0.3819583952
90,0.3357403278
91,0.3146829605
92,0.4249869883
93,0.340228647
94,0.2237344086
95,0.301887691
96,0.4606241584
97,0.3654740453
98,0.3305143416
99,0.3254501522
100,0.3665314615
101,0.3801375628
102,0.3219254911
103,0.2907602787
104,0.3648652136
105,0.4002120197
106,0.3269218802
107,0.2882754505
108,0.301589191
109,0.3130849004
110,0.3875798583
111,0.3714419305
112,0.4756328762
113,0.370061636
114,0.3927631378
115,0.3728205562
116,0.3256403506
117,0.3007006645
118,0.3653587401
119,0.3115334511
120,0.4277971685
121,0.3629429936
