frame,PROT_to_UNK,UNK_to_PROT
0,0,0
1,2,3
2,1,1
3,1,3
4,1,0
5,0,1
6,0,0
7,0,1
8,0,0
9,1,0
10,2,0
11,1,2
12,2,0
13,1,1
14,1,0
15,0,0
16,1,3
17,0,0
18,2,4
19,1,0
20,1,0
21,2,2
22,1,0
23,0,1
24,2,1
25,2,1
26,1,0
27,1,0
28,0,1
29,0,0
30,0,4
31,1,0
32,1,0
33,0,1
34,0,2
35,0,2
36,1,1
37,0,1
38,1,0
39,2,0
40,2,1
41,1,0
42,1,1
43,2,1
44,1,1
45,1,1
46,0,1
47,0,1
48,1,0
49,1,0
50,0,1
51,1,0
52,1,2
53,2,1
54,1,0
55,1,1
56,2,1
57,0,4
58,1,1
59,0,0
60,0,2
61,2,0
62,0,1
63,3,1
64,1,2
65,0,0
66,1,0
67,1,1
68,2,1
69,1,1
70,1,1
71,0,1
72,0,0
73,2,1
74,2,1
75,0,0
76,1,1
77,1,2
78,1,2
79,1,1
80,3,1
81,1,1
82,3,1
83,2,0
84,0,3
85,1,1
86,1,3
87,0,2
88,1,1
89,1,1
90,1,0
91,0,1
92,2,1
93,1,0
94,0,0
95,1,0
96,1,1
97,0,1
98,1,1
99,1,0
100,1,3
101,1,3
102,1,1
103,1,0
104,1,1
105,1,1
106,1,3
107,2,0
108,2,3
109,1,2
110,0,0
111,1,0
112,2,1
113,1,1
114,1,0
115,2,1
116,1,0
117,1,0
118,2,3
119,2,0
120,0,1
121,0,2
122,0,0
123,1,2
124,2,0
125,2,0
126,0,1
127,1,3
128,0,2
129,0,2
130,1,1
131,1,0
132,0,1
133,1,0
134,0,0
135,2,1
136,3,2
137,2,1
138,1,3
139,1,0
140,3,1
141,1,1
142,0,1
143,0,1
144,1,0
145,0,0
146,0,0
147,1,0
148,0,0
149,0,0
150,0,0
151,1,0
152,1,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,1,0
161,0,2
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,1
168,0,1
169,1,1
170,1,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,1,0
178,0,0
179,1,0
180,1,0
181,0,0
182,1,0
183,1,0
184,1,0
185,1,0
186,0,0
187,2,0
188,1,0
189,1,0
190,0,0
191,0,0
192,0,0
193,1,0
194,0,0
195,1,0
196,0,0
197,0,0
198,0,0
199,1,0
200,0,0
201,1,0
202,0,0
203,1,0
204,0,0
205,0,0
206,0,0
207,1,0
208,0,0
209,1,0
210,6,0
211,2,1
212,2,0
213,3,2
214,6,1
215,0,0
216,4,0
217,2,2
218,4,1
219,3,1
220,3,0
221,1,1
222,1,0
223,0,0
224,1,0
225,1,0
226,1,0
227,2,0
228,1,0
229,1,0
230,0,2
231,2,0
232,2,0
233,0,0
234,1,1
235,1,1
236,1,1
237,0,0
238,1,2
239,1,1
240,1,0
241,1,2
242,1,0
243,1,0
244,1,0
245,1,1
246,1,0
247,0,1
248,2,1
249,1,1
250,2,1
251,3,1
252,3,1
253,0,0
254,1,1
255,0,0
256,3,0
257,2,0
258,1,1
259,0,0
260,0,1
261,1,0
262,0,1
263,1,1
264,0,0
265,0,0
266,1,2
267,3,2
268,0,1
269,0,1
270,0,1
271,2,0
272,1,1
273,2,1
274,1,2
275,0,1
276,2,3
277,2,0
278,1,4
279,1,0
280,2,1
281,0,1
282,1,1
283,0,4
284,2,1
285,2,0
286,1,0
287,0,0
288,0,1
289,0,1
290,1,0
291,0,0
292,0,0
293,0,0
294,0,0
295,2,0
296,0,0
297,0,0
298,0,0
299,0,1
300,1,0
301,1,1
302,0,1
303,0,1
304,0,1
305,1,0
306,1,1
307,0,0
308,0,0
309,0,1
310,0,0
311,0,0
312,0,0
313,0,0
314,0,1
315,0,2
316,1,0
317,2,1
318,0,1
319,0,0
320,1,1
321,4,1
322,4,0
323,3,1
324,1,0
325,3,1
326,2,0
327,2,0
328,0,0
329,0,1
330,0,0
331,1,0
332,0,0
333,3,3
334,1,0
335,1,1
336,1,0
337,0,0
338,1,3
339,1,0
340,0,0
341,2,1
342,0,1
343,0,1
344,0,0
345,1,0
346,0,0
347,0,0
348,1,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,1
356,0,1
357,0,3
358,0,0
359,0,2
360,0,0
361,0,1
362,0,1
363,2,0
364,3,0
365,0,2
366,1,0
367,0,0
368,0,0
369,2,1
370,3,0
371,0,0
372,1,1
373,0,0
374,0,2
375,1,2
376,0,1
377,0,1
378,0,1
379,0,0
380,0,1
381,0,0
382,0,0
383,0,0
384,1,0
385,0,2
386,0,1
387,0,1
388,0,0
389,1,0
390,4,2
391,1,0
392,1,0
393,2,0
394,2,4
395,7,0
396,3,3
397,0,3
398,1,2
399,0,1
400,1,1
401,0,4
402,0,0
403,1,1
404,0,3
405,7,3
406,0,4
407,1,0
408,4,2
409,2,3
410,8,4
411,2,5
412,4,3
413,0,2
414,1,1
415,0,4
416,1,0
417,0,2
418,5,2
419,2,2
420,0,2
421,2,2
422,4,1
423,0,2
424,0,1
425,1,2
426,0,3
427,0,1
428,2,2
429,0,5
430,0,3
431,0,4
432,6,3
433,2,5
434,1,3
435,2,1
436,5,2
437,2,0
438,3,1
439,6,4
440,3,5
441,2,2
442,1,4
443,1,3
444,1,3
445,1,5
446,0,0
447,5,5
448,4,3
449,1,3
450,1,4
451,2,0
452,1,1
453,1,1
454,0,0
455,0,0
456,1,1
457,1,1
458,3,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,2,1
465,0,0
466,1,0
467,3,1
468,1,0
469,0,0
470,1,0
471,1,0
472,1,0
473,1,0
474,0,0
475,0,1
476,0,3
477,4,1
478,2,2
479,3,0
480,1,4
481,1,1
482,0,0
483,1,0
484,0,2
485,2,3
486,4,1
487,1,2
488,3,3
489,3,2
490,5,3
491,0,0
492,3,2
493,1,1
494,1,1
495,1,0
496,4,0
497,1,0
498,1,3
499,0,0
500,0,2
501,0,3
502,0,0
503,0,0
504,2,0
505,4,2
506,0,1
507,1,0
508,0,0
509,1,0
510,3,1
511,1,0
512,1,0
513,1,0
514,3,0
515,2,0
516,0,0
517,0,0
518,0,0
519,1,0
520,2,1
521,0,1
522,0,1
523,2,0
524,3,0
525,0,0
526,0,0
527,3,1
528,4,0
529,3,0
530,3,0
531,2,0
532,1,0
533,0,0
534,1,0
535,0,0
536,3,0
537,0,2
538,3,1
539,4,0
540,2,3
541,0,1
542,2,2
543,3,1
544,1,1
545,0,1
546,2,1
547,3,4
548,0,4
549,2,4
550,1,3
551,1,0
552,2,4
553,0,2
554,0,4
555,2,1
556,1,2
557,0,2
558,5,4
559,0,2
560,2,4
561,2,3
562,3,1
563,0,5
564,7,2
565,1,1
566,0,2
567,1,1
568,1,0
569,1,3
570,2,0
571,4,0
572,5,1
573,1,0
574,5,1
575,0,3
576,0,2
577,0,3
578,0,2
579,0,0
580,2,1
581,0,1
582,0,1
583,1,0
584,0,4
585,2,0
586,0,1
587,0,0
588,4,2
589,3,2
590,0,1
591,0,1
592,3,0
593,1,1
594,1,0
595,0,2
596,0,0
597,1,0
598,1,0
599,1,0
600,1,0
601,0,1
602,1,0
603,0,1
604,1,1
605,2,0
606,2,0
607,2,1
608,1,1
609,2,1
610,2,1
611,1,0
612,1,3
613,2,3
614,1,0
615,1,1
616,2,0
617,3,2
618,0,1
619,0,0
620,1,1
621,1,0
622,0,1
623,1,1
624,2,1
625,2,1
626,3,1
627,1,0
628,4,0
629,2,0
630,0,2
631,0,0
632,1,0
633,1,1
634,0,0
635,0,0
636,0,1
637,2,0
638,0,0
639,1,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,1
645,0,0
646,0,0
647,1,0
648,1,0
649,2,0
650,0,0
651,0,0
652,0,0
653,0,0
654,1,1
655,2,1
656,2,0
657,2,0
658,0,1
659,0,0
660,1,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,1
668,2,1
669,1,1
670,0,0
671,1,0
672,3,0
673,2,1
674,1,1
675,3,0
676,3,1
677,2,0
678,3,0
679,2,1
680,0,0
681,0,1
682,1,0
683,1,1
684,3,0
685,1,1
686,1,1
687,1,1
688,2,1
689,1,1
690,1,2
691,0,0
692,1,1
693,0,0
694,0,0
695,0,0
696,0,1
697,0,0
698,0,0
699,0,0
700,1,0
701,0,0
702,0,0
703,0,0
704,0,1
705,0,0
706,0,0
707,1,0
708,1,0
709,0,0
710,1,0
711,0,0
712,0,1
713,2,0
714,0,0
715,0,1
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,1,0
724,0,0
725,4,0
726,0,1
727,0,1
728,0,0
729,1,1
730,0,1
731,0,0
732,1,1
733,1,0
734,1,0
735,1,1
736,0,1
737,0,0
738,1,0
739,0,1
740,1,1
741,2,1
742,1,0
743,0,0
744,1,0
745,0,0
746,1,0
747,0,0
748,0,0
749,2,0
750,2,0
751,0,0
752,1,1
753,0,0
754,1,1
755,0,0
756,0,1
757,1,0
758,0,0
759,0,1
760,1,0
761,0,0
762,0,0
763,0,1
764,0,0
765,3,0
766,2,0
767,2,0
768,0,0
769,0,1
770,1,0
771,1,0
772,1,1
773,1,0
774,3,2
775,1,1
776,0,1
777,1,0
778,1,0
779,1,1
780,0,2
781,2,0
782,5,1
783,3,2
784,1,1
785,1,0
786,1,0
787,2,1
788,0,0
789,0,1
790,0,1
791,1,1
792,2,1
793,4,1
794,4,0
795,2,1
796,2,1
797,1,1
798,3,1
799,3,0
800,3,1
801,0,2
802,0,0
803,2,1
804,1,1
805,1,1
806,2,1
807,2,1
808,2,1
809,2,1
810,2,2
811,1,1
812,0,1
813,1,0
814,1,0
815,1,1
816,1,0
817,0,0
818,0,0
819,1,2
820,1,3
821,4,1
822,1,1
823,0,0
824,0,0
825,3,0
826,0,0
827,2,0
828,3,1
829,1,1
830,0,0
831,2,0
832,0,0
833,0,0
834,2,0
835,2,1
836,0,0
837,1,1
838,2,0
839,2,1
840,1,0
841,2,0
842,2,1
843,1,0
844,2,0
845,1,0
846,2,1
847,1,1
848,1,1
849,2,0
850,0,1
851,0,1
852,2,0
853,3,0
854,2,0
855,1,0
856,2,1
857,2,0
858,1,0
859,2,0
860,2,0
861,1,0
862,1,0
863,2,0
864,0,1
865,2,1
866,2,1
867,1,1
868,1,1
869,1,1
870,1,1
871,1,0
872,0,0
873,1,1
874,2,1
875,0,1
876,2,0
877,2,1
878,0,1
879,3,2
880,1,1
881,1,1
882,1,1
883,1,0
884,3,0
885,0,0
886,0,0
887,1,1
888,1,1
889,0,1
890,0,1
891,1,2
892,2,0
893,0,0
894,0,1
895,1,2
896,0,2
897,0,1
898,2,0
899,1,1
900,1,1
901,1,2
902,2,2
903,1,0
904,2,1
905,1,1
906,3,1
907,1,0
908,1,1
909,1,2
910,1,1
911,3,1
912,0,0
913,1,1
914,2,0
915,1,1
916,2,1
917,0,0
918,0,1
919,2,0
920,1,1
921,1,0
922,1,2
923,2,0
924,1,0
925,1,0
926,1,2
927,3,1
928,1,1
929,0,1
930,2,1
931,2,1
932,2,1
933,2,0
934,0,0
935,1,3
936,2,0
937,0,0
938,0,0
939,0,1
940,0,1
941,0,0
942,1,0
943,0,0
944,3,0
945,1,0
946,0,0
947,1,0
948,0,0
949,0,1
950,0,0
951,1,0
952,1,0
953,1,0
954,0,0
955,0,0
956,1,0
957,1,0
958,0,0
959,1,0
960,1,0
961,2,0
962,1,1
963,1,0
964,0,0
965,0,1
966,0,0
967,0,0
968,1,0
969,0,1
