,0
0,5.3077583313
1,5.4214391708
2,5.4057159424
3,5.4563212395
4,5.4259467125
5,5.3080463409
6,5.3465704918
7,5.3415994644
8,5.6250219345
9,5.4219708443
10,5.2194581032
11,5.3702716827
12,5.4362487793
13,5.3516440392
14,5.5013341904
15,5.5381183624
16,5.5481362343
17,5.542391777
18,5.5995492935
19,5.5734667778
20,5.4701833725
21,5.54413414
22,5.5843405724
23,5.6553139687
24,5.3147721291
25,5.3383455276
26,5.2057642937
27,5.1872720718
28,5.2591633797
29,5.3480148315
30,4.9825716019
31,5.2071657181
32,5.2677636147
33,5.4665589333
34,5.1997356415
35,5.3545861244
36,5.6193871498
37,4.9836096764
38,5.5268435478
39,5.207324028
40,5.2308301926
41,5.2418041229
42,5.2567434311
43,5.5817351341
44,5.3190140724
45,5.3387908936
46,5.3167252541
47,5.3771300316
48,5.4997739792
49,5.2174935341
50,5.065366745
51,5.2796821594
52,5.2356314659
53,5.2349033356
54,5.4735074043
55,5.0629677773
56,5.3983774185
57,5.4471998215
58,5.145512104
59,5.2973299026
60,5.373216629
61,5.0749468803
62,5.3569607735
63,5.2077112198
64,5.2330346107
65,5.1347064972
66,5.2992649078
67,5.2413873672
68,5.2957134247
69,5.2126646042
70,5.3860330582
71,4.9805774689
72,5.4432420731
73,5.0744419098
74,5.0420804024
75,5.3707094193
76,5.1008844376
77,5.4967918396
78,5.2428689003
79,5.2643270493
80,5.2230081558
81,5.174454689
82,5.1595811844
83,5.3912372589
84,5.3320245743
85,5.3781104088
86,5.1237921715
87,5.3837041855
88,5.3719739914
89,5.256105423
90,5.3529644012
91,5.0625510216
92,5.3629164696
93,5.4851551056
94,5.3413972855
95,5.4824690819
96,5.3728017807
97,5.3243322372
98,5.4447917938
99,5.3758525848
100,5.3274130821
101,5.2085494995
102,5.375620842
103,5.4113984108
104,5.5441417694
105,5.3766202927
106,5.3891687393
107,5.2798247337
108,5.2367796898
109,4.9926304817
110,5.2178125381
111,5.1945552826
112,4.9069108963
113,4.7747797966
114,5.125161171
115,5.2819480896
116,5.2974596024
117,5.1585416794
118,5.2316784859
119,5.2790513039
120,5.3945951462
121,5.3835763931
122,5.5036563873
123,5.3749666214
124,5.2700462341
125,5.4007511139
126,5.4178090096
127,5.4018478394
128,5.1460957527
129,5.3691811562
130,5.4557766914
131,5.212003231
132,5.2291975021
133,5.2851629257
134,5.3488855362
135,4.8930425644
136,5.2091169357
137,5.3248023987
138,5.3177442551
139,5.3492026329
140,5.1640043259
141,5.5155138969
142,5.2110385895
143,5.258638382
144,5.2902097702
145,5.4918298721
146,5.352725029
147,5.197429657
148,5.4489006996
149,5.3986039162
150,5.4284558296
151,5.5212469101
152,5.4450478554
153,5.4347448349
154,5.5146422386
155,5.2669992447
156,5.7046771049
157,5.3336701393
158,5.0928411484
159,5.1914072037
160,5.4828300476
161,5.5375232697
162,5.5621366501
163,5.6323823929
164,5.3328642845
165,5.6539845467
166,5.4177904129
167,5.5226402283
168,5.5182776451
169,5.4841489792
170,5.1192398071
171,5.3705358505
172,5.4478430748
173,5.3219957352
174,5.1813983917
175,5.2140741348
176,5.0514984131
177,5.3224916458
178,5.3515014648
179,5.3984460831
180,5.5107755661
181,5.3593850136
182,5.4996562004
183,5.6173620224
184,5.3175239563
185,5.5541872978
186,5.245429039
187,5.3798265457
188,5.3356976509
189,5.1657791138
190,5.5590105057
191,5.1250243187
192,5.4138851166
193,5.3870654106
194,5.5141849518
195,5.3899250031
196,5.4696164131
197,5.2243766785
198,5.3828215599
199,5.3313503265
200,5.4910993576
201,5.276725769
202,5.3623509407
203,5.3357610703
204,5.4342384338
205,5.1206216812
206,5.2564611435
207,5.0290651321
208,5.3789358139
209,5.172700882
210,5.1150450706
211,5.1479730606
212,5.2460536957
213,5.3070921898
214,5.1739645004
215,5.216137886
216,5.3098983765
217,5.3334093094
218,5.1664757729
219,4.9386582375
220,5.2369241714
221,5.2963457108
222,5.1666078568
223,5.2331786156
224,5.4654097557
225,5.078997612
226,5.2170906067
227,5.1331124306
228,5.2916498184
229,5.3823776245
230,5.2614736557
231,5.0553059578
232,5.4601750374
233,5.1001262665
234,5.3163251877
235,5.2777299881
236,5.2396845818
237,5.2050862312
238,5.0427923203
239,5.0910773277
240,5.0524001122
241,5.3109850883
242,4.9691691399
243,5.3266630173
244,5.2252893448
245,5.125146389
246,5.1427893639
247,5.3062601089
248,5.3238558769
249,5.234310627
250,5.1293764114
251,5.3189911842
252,5.0963330269
253,5.2377996445
254,5.3209471703
255,5.3480291367
256,5.1036906242
257,5.1884222031
258,5.4169106483
259,5.2732038498
260,5.1572551727
261,5.1063961983
262,5.1734204292
263,5.3222007751
264,5.2449846268
265,5.2537651062
266,5.1364045143
267,5.0260415077
268,5.0634794235
269,5.4053115845
270,5.303835392
271,5.1815481186
272,5.294479847
273,5.5437440872
274,5.2940568924
275,5.4309220314
276,5.3899650574
277,5.3437008858
278,5.335354805
279,5.2108521461
280,5.184223175
281,5.2695336342
282,5.2160019875
283,5.4998888969
284,5.3864169121
285,5.4997091293
286,5.2739057541
287,5.2789387703
288,5.1906237602
289,5.2640986443
290,5.4286541939
291,5.1122169495
292,5.2842483521
293,5.2969236374
294,5.2664246559
295,5.4581747055
296,5.3714461327
297,5.5404839516
298,5.3749341965
299,5.4525032043
300,5.4941725731
301,5.3627943993
302,5.5084052086
303,5.3869886398
304,5.1223278046
305,5.2315888405
306,5.3964357376
307,5.4224367142
308,5.5548305511
309,5.4352741241
310,5.3827962875
311,5.2153906822
312,5.5267314911
313,5.3753652573
314,5.4880003929
315,5.5163931847
316,5.588133812
317,5.45855093
318,5.2737379074
319,5.2632975578
320,5.3620347977
321,5.4327058792
322,5.4009819031
323,5.4870648384
324,5.5326004028
325,5.3690018654
326,5.3026156425
327,5.4053144455
328,5.3240356445
329,5.4250254631
330,5.3762555122
331,5.3201761246
332,5.5280923843
333,5.386092186
334,5.3568091393
335,5.1863045692
336,5.227748394
337,5.2787427902
338,5.4139657021
339,5.1688642502
340,5.2230501175
341,5.2922143936
342,5.1804986
343,5.0343251228
344,5.202776432
345,5.0668168068
346,5.0669689178
347,5.4296875
348,4.9994091988
349,4.9510884285
350,5.4490280151
351,5.3604421616
352,5.0857849121
353,5.1322417259
354,5.3936338425
355,5.1461105347
356,5.2018814087
357,5.3923244476
358,5.3473520279
359,5.2249941826
360,5.2678136826
361,5.2905631065
362,5.1866278648
363,5.3576631546
364,5.2553415298
365,5.2815599442
366,5.3000497818
367,5.3399558067
368,5.2182950974
369,5.2208533287
370,5.2421255112
371,5.3710227013
372,5.2754378319
373,5.2898073196
374,5.2739095688
375,5.4901704788
376,5.2787008286
377,5.2939682007
378,5.1745028496
379,5.2182321548
380,5.2574586868
381,5.1499214172
382,5.1880674362
383,5.006026268
384,5.1784467697
385,5.3735437393
386,5.4099211693
387,5.1396756172
388,5.1917815208
389,5.3185219765
390,5.0987877846
391,5.3675746918
392,5.1793985367
393,5.0952100754
394,5.204369545
395,5.2386593819
396,5.1753573418
397,5.055639267
398,5.1202979088
399,5.3573613167
400,5.2357664108
401,5.1614122391
402,4.9822745323
403,5.1154088974
404,4.9915332794
405,5.1921691895
406,5.1792740822
407,5.0041418076
408,5.1802244186
409,5.0758676529
410,5.398973465
411,5.3361573219
412,5.4485044479
413,5.2199730873
414,5.2906799316
415,5.5405626297
416,5.2502202988
417,5.1384468079
418,5.4550032616
419,5.4390263557
420,5.1431412697
421,5.2206463814
422,5.2362570763
423,5.1307039261
424,5.2359604836
425,5.273455143
426,5.1113939285
427,5.366063118
428,5.2822694778
429,5.2860937119
430,5.3900671005
431,5.3192868233
432,5.3051271439
433,5.2323493958
434,5.2655749321
435,5.1050729752
436,5.2321324348
437,5.1245923042
438,5.0539298058
439,5.2414116859
440,5.482167244
441,5.4020791054
442,5.3235692978
443,5.2770214081
444,5.2521009445
445,5.1496477127
446,5.3772835732
447,5.2501373291
448,4.975610733
449,5.229072094
450,5.1409749985
451,5.3183174133
452,5.4163942337
453,5.3525514603
454,5.3420238495
455,5.4503922462
456,5.1869463921
457,5.1978988647
458,5.2020492554
459,5.149711132
460,5.2829408646
461,5.5112452507
462,5.4158596992
463,5.4418992996
464,5.4055457115
465,5.23396492
466,5.45443964
467,5.1233587265
468,5.1862931252
469,5.1533684731
470,5.2408480644
471,4.9362249374
472,5.0217814445
473,5.1102018356
474,5.1137914658
475,5.2854776382
476,5.1600322723
477,5.3978633881
478,5.1273260117
479,5.2725625038
480,5.2339982986
481,4.993686676
482,5.2541832924
483,5.1563353539
484,5.1474699974
485,5.4036211967
486,5.170214653
487,5.3725628853
488,5.0647110939
489,5.3236966133
490,5.2155075073
491,5.1683540344
492,5.2576160431
493,5.0288228989
494,5.2827124596
495,5.1286473274
496,5.1995973587
497,5.3233232498
498,4.9242753983
499,5.4491801262
500,5.3581423759
501,5.04185009
502,5.2788200378
503,5.5097541809
504,5.2155504227
505,5.4805779457
506,5.3641729355
507,5.4120812416
508,5.3594102859
509,5.1189265251
510,5.5343976021
511,5.4382557869
512,5.1343345642
513,5.0905327797
514,5.2150821686
515,4.9869484901
516,5.4821052551
517,5.2999887466
518,5.3445301056
519,5.2181978226
520,5.2727074623
521,5.4054932594
522,5.2143998146
523,5.4157857895
524,5.229475975
525,5.284719944
526,5.3922448158
527,5.3162126541
528,5.2823781967
529,5.3782491684
530,5.3473410606
531,5.0697932243
532,5.2148151398
533,5.5230903625
534,5.4736557007
535,5.1038007736
536,5.3718953133
537,5.5547361374
538,5.3265089989
539,5.3128733635
540,5.3636989594
541,5.2194213867
542,5.3218870163
543,5.3860139847
544,5.2139472961
545,5.2083058357
546,5.229095459
547,5.1441507339
548,5.1141557693
549,5.3879728317
550,5.1429309845
551,5.1155571938
552,5.241915226
553,5.353014946
554,5.1378135681
555,5.1809563637
556,5.1497588158
557,5.114672184
558,5.1071486473
559,5.118639946
560,5.2797441483
561,5.1282982826
562,5.070807457
563,5.3304433823
564,5.2510843277
565,5.100713253
566,5.3497743607
567,5.4182648659
568,5.4960699081
569,5.3023080826
570,5.4660272598
571,5.3256464005
572,5.1130614281
573,5.1223783493
574,5.2754387856
575,5.6160926819
576,5.1694655418
577,5.3437933922
578,5.3934545517
579,5.2725329399
580,5.3928079605
581,5.4457612038
582,5.2423558235
583,5.0915498734
584,4.9738030434
585,5.2760782242
586,4.9996709824
587,5.2554597855
588,5.1182794571
589,4.992415905
590,5.2723283768
591,5.1616811752
592,5.0211653709
593,5.2069535255
594,5.0544867516
595,5.0981712341
596,5.3359856606
597,4.9878425598
598,5.0113744736
599,5.0993056297
600,4.9337897301
601,5.270257473
602,5.1705112457
603,4.979724884
604,5.3494310379
605,5.2540326118
606,5.3522610664
607,5.2166752815
608,5.2514395714
609,5.0660543442
610,5.1282663345
611,5.1006660461
612,5.1183099747
613,5.0606222153
614,5.1178741455
615,5.1902441978
616,5.0074439049
617,5.206161499
618,4.9448108673
619,5.161690712
620,5.2644891739
621,5.4514322281
622,5.3516459465
623,5.4153838158
624,5.3541326523
625,5.184094429
626,5.2255582809
627,5.4770140648
628,5.4996576309
629,5.715444088
630,5.6730213165
631,5.4702887535
632,5.429693222
633,5.295109272
634,5.5206017494
635,5.4703054428
636,5.3369493484
637,5.2953615189
638,5.3544068336
639,5.2473487854
640,5.2479901314
641,5.3840036392
642,5.2893180847
643,5.3369159698
644,5.2917027473
645,5.180560112
646,5.2078104019
647,5.3068070412
648,5.2440786362
649,5.1896252632
650,5.1579446793
651,5.3379716873
652,5.3426322937
653,5.245467186
654,5.2900190353
655,5.2267279625
656,5.4645719528
657,5.2462916374
658,5.5315413475
659,5.1954808235
660,5.2886214256
661,5.3818264008
662,5.2859487534
663,5.1985425949
664,5.4280738831
665,5.2105512619
666,5.2868132591
667,5.4699072838
668,5.433827877
669,5.3239140511
670,5.339676857
671,4.9358329773
672,5.2360239029
673,5.0922117233
674,5.3692278862
675,5.3442583084
676,5.367398262
