Frame,RMSD_dock
0,1.7458645
1,1.6474875
2,1.8299415
3,1.8241621
4,1.9953222
5,1.8029836
6,1.6816293
7,2.0605767
8,2.0470426
9,1.7031167
10,2.046927
11,1.9286065
12,2.358822
13,2.135656
14,1.7330116
15,2.1758327
16,1.9006143
17,1.7792946
18,1.7990988
19,1.923762
20,2.1330466
21,1.7702663
22,1.9427156
23,1.660076
24,2.381713
25,2.003637
26,2.0923545
27,2.0383148
28,2.146538
29,1.7412393
30,2.1225276
31,2.1776526
32,2.0194795
33,2.0802138
34,2.0188472
35,1.867712
36,1.8289427
37,2.1884987
38,2.106136
39,2.0046275
40,1.6672227
41,1.9412093
42,1.4776428
43,1.5788953
44,1.9734762
45,1.461966
46,1.3859335
47,1.6791368
48,1.962127
49,1.6666213
50,1.9535053
51,2.0806587
52,2.1031463
53,1.9919795
54,1.5581517
55,1.6199824
56,2.1279297
57,2.1174555
58,1.9562793
59,1.9764334
60,2.1095705
61,1.5789435
62,1.9275907
63,2.043488
64,2.4342937
65,2.1892931
66,2.1974058
67,2.1982794
68,1.6154255
69,1.8031023
70,1.7948868
71,2.0406442
72,1.803381
73,2.254756
74,2.0720363
75,2.1252997
76,2.5285528
77,2.1669614
78,1.6052456
79,1.8401841
80,1.7965914
81,2.0961683
82,1.8001636
83,2.3203683
84,2.101702
85,2.8122385
86,1.913742
87,2.1346765
88,2.0921912
89,1.9264058
90,2.5094666
91,2.4905527
92,2.1656914
93,2.5005815
94,1.5907911
95,2.0503955
96,1.7802705
97,1.6267092
98,1.8997126
99,1.6579396
100,2.2572598
101,2.6220288
102,2.0920804
103,1.959393
104,2.2326272
105,2.2715573
106,2.2996147
107,2.5475225
108,2.1933706
109,2.3639228
110,2.4156363
111,2.1598954
112,2.3772497
113,2.3879743
114,2.30307
115,2.056895
116,2.203962
117,2.102024
118,2.1722405
119,1.8661723
120,2.0453384
121,1.3349952
122,2.0798028
123,2.5409548
124,2.1297379
125,2.1017878
126,1.8777665
127,1.7681742
128,2.1734827
129,2.444696
130,2.3690183
131,2.5189114
132,1.8581941
133,2.1275477
134,2.2391508
135,2.1253138
136,2.0765102
137,1.7652106
138,1.8262115
139,1.9063002
140,1.7081138
141,2.0560749
142,1.7552997
143,2.2025876
144,2.260155
145,2.1165354
146,2.1016374
147,2.1710975
148,2.2925828
149,2.1661415
150,2.0598361
151,2.0893505
152,1.5459619
153,2.3738122
154,1.808658
155,1.9240743
156,1.9335332
157,2.0211065
158,1.966669
159,1.7294513
160,1.812826
161,1.9955715
162,2.1336062
163,2.0496616
164,2.0715954
165,1.6854867
166,1.9910291
167,1.7790699
168,2.0119247
169,1.8958513
170,1.973668
171,2.1316504
172,2.3399844
173,1.9043901
174,1.9533937
175,1.9999541
176,2.3076892
177,1.8842404
178,1.9185861
179,1.8402759
180,1.9264399
181,2.1313832
182,1.806726
183,1.7647132
184,1.9462099
185,2.0184245
186,1.8591862
187,1.8732997
188,2.1387873
189,2.087754
190,2.457468
191,2.123634
192,2.2054048
193,2.4207413
194,2.4921181
195,2.0374327
196,2.139538
197,2.1218212
198,2.052783
199,2.4448037
200,2.338517
201,2.163618
202,1.8036088
203,2.3457162
204,2.454089
205,2.3262947
206,1.8578043
207,2.3664434
208,2.198767
209,2.3595653
210,1.6146051
