Frame,RMSD_noFit_frame0
0,0.6592241
1,1.4365275
2,1.240839
3,1.5774385
4,1.260536
5,0.872517
6,1.0659701
7,1.0860226
8,1.1525366
9,1.2364632
10,1.6544315
11,1.2031702
12,1.3034832
13,1.2031314
14,1.2298594
15,1.2388254
16,1.5736976
17,1.8689964
18,1.7712412
19,1.813487
20,1.691598
21,1.5727575
22,1.5785003
23,1.0906588
24,1.3801996
25,0.5627942
26,1.5943649
27,0.7952212
28,1.7859594
29,1.3748271
30,1.6882378
31,1.3487153
32,0.99628186
33,1.378208
34,0.7624691
35,0.81172085
36,0.92412305
37,1.2842315
38,1.2911395
39,0.94256675
40,1.5819972
41,0.76789296
42,1.258665
43,1.2859194
44,1.1070153
45,1.1333052
46,1.2541006
47,1.6095449
48,1.4065417
49,1.4329883
50,1.3044442
51,0.6289363
52,0.8818802
53,0.95089936
54,1.1168268
55,0.99824107
56,0.9125778
57,1.3959197
58,1.7786845
59,0.75797826
60,0.7871587
61,1.0256912
62,1.0726521
63,0.7568197
64,0.88445747
65,0.50385016
66,0.67443615
67,0.7412741
68,1.0994792
69,0.61348766
70,1.0060267
71,0.43276528
72,0.85448885
73,0.56753534
74,0.62310964
75,1.1243281
76,0.8170919
77,0.57649183
78,0.9973961
79,0.91883624
80,1.0352303
81,0.9907396
82,1.055228
83,0.77248156
84,0.89697504
85,1.6170895
86,1.0345905
87,0.9613399
88,0.67619646
89,0.84912556
90,0.90144914
91,1.083575
92,0.48262107
93,0.9910516
94,0.96522295
95,0.52353007
96,0.8207513
97,1.2009777
98,0.76375586
99,1.2918341
100,0.0
101,1.0984775
102,0.49688473
103,0.69601375
104,0.7087847
105,1.3262205
106,0.6643974
107,0.8476761
108,1.0379763
109,0.6758995
110,0.8253758
111,0.8274941
112,0.8350223
113,1.1349
114,0.4739584
115,0.6109654
116,0.54579586
117,0.8436981
118,0.7451861
119,0.65637285
120,1.411589
121,1.2358986
122,0.59632605
123,0.6664274
124,0.84836006
125,0.8288162
126,1.0224051
127,1.0854145
128,0.5824561
129,0.5746332
130,0.9043067
131,1.1262996
132,1.1312294
133,0.8406865
134,0.63118714
135,0.7501336
136,0.64024633
137,1.1713171
138,1.0619441
139,0.8432318
140,0.86858606
141,0.8685543
142,1.0248574
143,1.2728748
144,0.6238652
145,0.5738852
146,1.0495099
147,0.9405322
148,0.9815593
149,0.47697747
150,0.9169408
151,0.99931717
152,0.99555254
153,1.1503967
154,0.9715552
155,1.1975769
156,1.340105
157,1.1743393
158,0.7452269
159,0.8726822
160,0.8095122
161,1.0632764
162,0.72210646
163,0.6052003
164,0.81130266
165,0.8622315
166,1.0636023
167,1.0362124
168,0.5877478
169,0.508598
170,0.72481656
171,0.74422467
172,0.39830288
173,0.7914885
174,0.90218467
175,1.303796
176,1.3242834
177,0.6934451
178,1.0488696
179,1.0010893
180,0.9323229
181,0.65750134
182,0.9077185
183,0.8531006
184,0.92810875
185,0.73953766
186,0.9450075
187,1.1449316
188,1.4053488
189,1.016055
190,0.88832724
191,0.9180406
192,0.46582648
193,1.3721306
194,1.2769116
195,1.3767915
196,0.9209632
197,1.2304263
198,1.4038246
199,0.46184742
200,0.764852
201,1.0159101
202,0.5799814
203,0.92366517
204,0.8633781
205,0.52748024
206,1.0199867
207,0.83344114
208,0.39696234
209,0.61593187
210,1.0863609
211,0.74893105
212,0.683581
213,0.44296828
214,0.6598809
215,0.5652831
216,0.6867419
217,0.61925155
218,0.89000535
219,0.6986011
220,0.7985274
221,0.912866
222,0.9642288
223,0.99065787
224,0.47000065
225,0.82965106
226,0.5892706
227,0.7194014
228,0.6272402
229,0.90791863
230,0.7797256
231,1.1764555
232,0.79929876
233,0.53767914
234,0.56779516
235,0.7009512
236,0.8667954
237,0.78433686
238,0.498097
239,0.57038885
240,0.6269685
241,0.7619589
242,0.86568356
243,1.0148435
244,0.6327879
245,1.1304086
246,1.2674459
247,1.2858039
248,1.0799026
249,1.0743864
250,0.57330585
251,0.6423504
252,0.6349653
253,0.91660917
254,0.72034574
255,0.5806842
256,0.39995262
257,0.86960495
258,1.1109866
259,0.60187155
260,1.1561277
261,0.56550956
262,0.55852085
263,0.953636
264,0.9203329
265,1.0256784
266,1.0552881
267,0.9783188
268,1.2286022
269,0.78334165
270,0.775905
271,0.85909516
272,1.1551282
273,1.2053126
274,0.8155727
275,1.6987791
276,0.91351515
277,1.3136953
278,1.2603561
279,1.1350347
280,0.8557735
281,1.156207
282,0.9974659
283,1.1171741
284,1.0746033
285,0.8331893
286,0.9373885
287,1.238322
288,0.539284
289,1.3845255
290,0.6021508
291,0.67824215
292,0.91485596
293,0.68024707
294,0.9628284
295,0.9856832
296,1.0686563
297,0.92545855
298,0.75254923
299,1.2797254
300,1.1184968
301,0.9333124
302,1.0715492
303,0.9861195
304,1.0629563
305,0.7882761
306,0.6092729
307,0.47458175
308,0.7560489
309,0.737366
310,0.89264387
311,0.79291165
312,0.7755099
313,0.80521315
314,0.78709656
315,0.84425294
316,0.57496965
317,0.73818773
318,0.58468163
319,0.42350373
320,0.70512307
321,0.6675846
322,0.6069638
323,1.0889639
324,0.590284
325,0.94543016
326,1.0911274
327,1.1783526
328,1.1399482
329,0.7402497
330,0.9731599
331,1.6857574
332,0.7476614
333,0.5229432
334,0.50951236
335,1.3195213
336,0.5589047
337,0.3750026
338,1.1305119
339,0.86885613
340,0.47248745
341,1.1847967
342,0.9579868
343,1.1414601
344,1.0961646
345,0.85174954
346,0.5223056
347,0.7097764
348,0.98403376
349,0.5922137
350,0.3767227
351,0.69510025
352,0.96383613
353,0.71581197
354,1.3137755
355,1.2042347
356,0.500614
357,1.2436607
358,1.001242
359,0.50874144
360,0.88636273
361,1.0054007
362,0.81769145
363,0.79083395
364,1.354505
365,0.7512687
366,0.97897923
367,0.56738216
368,0.82299584
369,1.1084365
370,0.5349299
371,0.9575307
372,0.667393
373,0.61458844
374,0.40791222
375,1.3088555
376,0.5965288
377,0.71698326
378,0.58497375
379,0.4391992
380,0.42063978
381,0.835309
382,0.9641302
383,0.7117244
384,0.906346
385,0.5164099
386,0.67455715
387,0.71970356
388,1.317091
389,0.6196735
390,0.942434
391,0.9174815
392,0.47850746
393,1.1805112
394,0.7031743
395,0.7004317
396,1.1257454
397,0.96912277
398,1.0386627
399,0.75090134
400,0.80598384
401,0.522566
402,1.0136987
403,0.9222299
404,0.42419788
405,0.5633444
406,0.65244573
407,0.5005246
408,1.0239223
409,0.8155906
410,0.81290436
411,0.55227745
412,0.8187581
413,0.7878493
414,0.68763256
415,0.375347
416,0.76735353
417,0.8967094
418,0.3669597
419,0.7232018
420,0.7912501
421,0.7806248
422,0.87272114
423,0.87819064
424,0.933585
425,0.91349983
426,0.8502052
427,1.1751944
428,0.8431864
429,0.9263535
430,0.5434702
431,0.9307674
432,0.8377791
433,0.5565028
434,0.71629363
435,0.57951736
