,0
0,-8.752
1,-9.02875
2,-8.96011
3,-8.17453
4,-9.09155
5,-8.55235
6,-8.79086
7,-9.01411
8,-9.49268
9,-9.22829
10,-8.47679
11,-8.49538
12,-8.4419
13,-7.96736
14,-8.40924
15,-9.64799
16,-9.08
17,-8.94419
18,-9.40775
19,-9.42367
20,-8.72997
21,-8.81693
22,-8.84149
23,-9.0233
24,-8.23268
25,-8.76941
26,-8.63268
27,-9.24478
28,-8.57015
29,-9.12604
30,-9.11712
31,-7.96064
32,-9.34923
33,-9.12559
34,-8.39688
35,-9.6497
36,-8.83486
37,-9.1488
38,-9.45588
39,-9.23832
40,-9.24798
41,-9.20832
42,-8.76882
43,-8.52084
44,-9.56917
45,-8.93759
46,-9.34692
47,-8.25871
48,-8.39829
49,-8.70839
50,-9.29011
51,-8.78987
52,-8.94825
53,-8.36846
54,-7.76175
55,-7.82755
56,-9.37553
57,-9.28003
58,-8.40983
59,-8.36405
60,-8.9197
61,-8.35157
62,-8.77961
63,-8.56558
64,-8.32517
65,-8.9466
66,-8.69526
67,-9.06315
68,-8.76562
69,-9.4945
70,-8.48203
71,-7.99173
72,-7.56378
73,-8.24447
74,-7.73682
75,-8.87716
76,-8.06634
77,-9.05258
78,-8.62262
79,-8.89198
80,-8.78949
81,-8.79109
82,-9.16863
83,-8.36762
84,-9.49618
85,-8.34696
86,-9.2682
87,-7.99008
88,-8.14639
89,-9.00193
90,-8.83873
91,-8.75577
92,-8.44399
93,-7.91539
94,-8.98284
95,-8.86551
96,-8.33907
97,-8.59365
98,-8.65175
99,-8.64798
100,-8.60933
101,-9.51987
102,-8.95671
103,-9.37993
104,-8.05728
105,-8.77569
106,-8.20132
107,-8.43417
108,-9.1135
109,-8.94452
110,-8.70627
111,-8.79024
112,-9.17795
113,-8.66558
114,-8.36943
115,-8.41812
116,-8.25285
117,-8.5356
118,-8.19745
119,-8.99255
120,-8.07233
121,-8.708
122,-8.65368
123,-9.39877
124,-8.69129
125,-9.15667
126,-8.36109
127,-8.80797
128,-8.73455
129,-8.42092
130,-9.28645
131,-8.54871
132,-8.5677
133,-8.30715
134,-8.39662
135,-7.31942
136,-8.4166
137,-8.4204
138,-9.02208
139,-8.56623
140,-7.90876
141,-8.46336
142,-8.15536
143,-7.99884
144,-8.49698
145,-7.44705
146,-8.59145
147,-8.98357
148,-8.3646
149,-8.73072
150,-8.01212
151,-7.9238
152,-8.45302
153,-8.04112
154,-8.54498
155,-8.86445
156,-8.16782
157,-8.31539
158,-8.55918
159,-9.2501
160,-8.31303
161,-8.46952
162,-7.42014
163,-8.37431
164,-8.30637
165,-8.1212
166,-8.63223
167,-7.95473
168,-8.03922
169,-9.05052
170,-7.52416
171,-8.28474
172,-8.62708
173,-7.8003
174,-7.73158
175,-8.37393
176,-8.48752
177,-7.59366
178,-8.24459
179,-7.81696
180,-8.58888
181,-8.27271
182,-8.47227
183,-8.52178
184,-7.36411
185,-8.18535
186,-8.97452
187,-7.79359
188,-8.2832
189,-7.44132
190,-7.5771
191,-7.78913
192,-8.14953
193,-8.05072
194,-8.29757
195,-8.10182
196,-7.7673
197,-8.40878
198,-7.31483
199,-7.53077
200,-7.19042
201,-8.0117
202,-7.99456
203,-7.62896
204,-8.00617
