,0
0,6.1376304626
1,6.0640311241
2,6.1251878738
3,6.1403017044
4,6.2253046036
5,5.987651825
6,5.951189518
7,6.1205735207
8,5.9517316818
9,6.1950488091
10,5.9780716896
11,5.9327430725
12,5.7086510658
13,6.0802464485
14,5.9237985611
15,6.1126923561
16,6.1979808807
17,5.9075045586
18,5.9822249413
19,6.2200760841
20,6.0668840408
21,6.0492753983
22,6.0387854576
23,5.8414964676
24,6.0903968811
25,5.8663678169
26,6.1023750305
27,6.1368169785
28,6.1095795631
29,6.1036143303
30,6.2458024025
31,5.8484697342
32,6.0188941956
33,6.1569519043
34,6.2211318016
35,6.1934652328
36,6.2392287254
37,6.0519003868
38,6.0809807777
39,6.0824575424
40,5.9672040939
41,5.8259692192
42,6.057431221
43,6.0107736588
44,6.3351202011
45,6.0014061928
46,6.0662126541
47,5.7760887146
48,5.8482151031
49,6.128387928
50,6.326874733
51,6.0798783302
52,6.2886362076
53,6.0401825905
54,6.0441823006
55,5.8241868019
56,5.9979729652
57,5.9777975082
58,5.8760766983
59,5.8883752823
60,6.1408200264
61,6.005461216
62,6.0107088089
63,5.9969358444
64,5.9956264496
65,6.1911659241
66,5.9475035667
67,6.015173912
68,6.0551877022
69,6.2693915367
70,6.0384669304
71,5.942688942
72,5.9358873367
73,5.7104959488
74,6.0646939278
75,6.1166372299
76,5.8969302177
77,6.07213974
78,5.9596734047
79,5.844063282
80,6.1832766533
81,6.2679686546
82,6.1876821518
83,6.2193617821
84,6.1721954346
85,6.3461127281
86,6.2290506363
87,6.0413303375
88,6.0479764938
89,6.1760940552
90,6.0981702805
91,6.2329850197
92,6.0533690453
93,6.1036949158
94,6.2556715012
95,6.1707015038
96,6.0655107498
97,6.0110883713
98,6.0412635803
99,6.0629825592
100,6.0458984375
101,6.0423111916
102,6.1193857193
103,6.2646951675
104,6.1668729782
105,6.1725101471
106,5.8144412041
107,5.9497680664
108,6.1945924759
109,6.1614599228
110,6.1823883057
111,6.1581697464
112,6.2977056503
113,6.0911340714
114,6.0394678116
115,5.9856743813
116,5.7500081062
117,6.1209902763
118,6.0160598755
119,6.1330461502
120,6.1339998245
121,6.1743798256
122,6.2236862183
123,6.2949552536
124,6.0753026009
125,6.2522478104
126,5.9460778236
127,6.0657300949
128,6.1534323692
129,6.1326828003
130,5.9476556778
131,6.1831221581
132,6.0836038589
133,6.0754041672
134,5.8955178261
135,5.8832201958
136,5.9095554352
137,6.0139994621
138,6.1838231087
139,6.0310730934
140,5.6964621544
141,6.1076459885
142,5.8496294022
143,5.7949781418
144,5.9487280846
145,5.931101799
146,5.9110107422
147,6.1148266792
148,5.8147568703
149,5.7790093422
150,5.9088983536
151,5.7307167053
152,5.9607095718
153,5.9297637939
154,6.1298074722
155,6.1078691483
156,5.7986860275
157,5.8738698959
158,6.0566678047
159,5.872148037
160,5.8368391991
161,5.8199152946
162,5.4200501442
163,5.7267699242
164,5.2799830437
165,5.8347563744
166,5.6642947197
167,5.3515434265
168,5.8634428978
169,5.7093911171
170,5.608891964
171,5.7410650253
172,5.8205347061
173,5.3625555038
174,5.6217422485
175,5.8036146164
176,5.726319313
177,5.6234211922
178,5.5473575592
179,5.5536723137
180,5.8326454163
181,5.7577080727
182,5.8487033844
183,5.4746079445
184,5.7407536507
185,5.9199624062
186,5.8353204727
187,5.6939969063
188,5.9600334167
189,5.8334550858
190,5.5554356575
191,5.5962772369
192,5.6946835518
193,5.7316918373
194,5.9057593346
195,5.775888443
196,5.544793129
197,5.9642882347
198,5.5976438522
199,5.7058038712
200,5.6279959679
201,5.4997491837
202,5.5071501732
203,5.6761293411
204,5.5321521759
205,5.5237007141
206,5.3445401192
207,5.5211305618
208,5.4195427895
209,5.6338429451
210,5.4761629105
211,5.4966034889
212,5.5664300919
213,5.524711132
214,5.5457267761
215,5.6881895065
216,5.7303051949
217,5.7562103271
218,5.6864619255
219,6.0045933723
220,5.8849401474
221,5.8008360863
222,5.9805192947
223,5.9947290421
224,5.7942943573
225,6.0256853104
226,5.951300621
227,5.9872808456
