frame,PROT_to_UNK,UNK_to_PROT
0,2,0
1,4,0
2,3,0
3,1,0
4,3,0
5,5,0
6,3,0
7,1,1
8,3,0
9,2,0
10,1,0
11,2,0
12,2,0
13,2,0
14,2,0
15,4,0
16,3,0
17,3,0
18,2,0
19,1,0
20,3,0
21,3,0
22,1,0
23,1,0
24,0,0
25,4,0
26,1,0
27,1,0
28,2,0
29,3,0
30,3,0
31,5,0
32,1,0
33,3,0
34,2,0
35,2,0
36,2,0
37,1,1
38,2,0
39,2,0
40,1,0
41,2,0
42,2,0
43,1,0
44,2,0
45,2,0
46,3,1
47,2,0
48,2,0
49,2,0
50,3,0
51,2,0
52,3,0
53,2,0
54,2,0
55,3,0
56,2,0
57,2,0
58,2,0
59,2,0
60,2,0
61,4,0
62,2,0
63,2,0
64,3,0
65,2,0
66,3,0
67,2,0
68,2,0
69,2,0
70,3,0
71,2,0
72,1,0
73,2,0
74,2,0
75,1,0
76,1,0
77,2,0
78,0,0
79,1,0
80,4,0
81,1,0
82,1,0
83,2,0
84,3,0
85,1,0
86,3,0
87,1,0
88,1,0
89,2,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,2,0
96,3,0
97,1,0
98,2,0
99,1,0
100,2,0
101,1,0
102,1,0
103,2,0
104,1,0
105,2,0
106,2,0
107,3,0
108,1,0
109,2,0
110,3,0
111,2,0
112,4,0
113,3,0
114,1,0
115,2,0
116,3,0
117,2,0
118,3,0
119,1,0
120,1,0
121,1,0
122,2,0
123,4,0
124,1,0
125,2,0
126,2,0
127,1,0
128,1,0
129,3,0
130,2,0
131,1,0
132,3,0
133,0,0
134,0,0
135,0,0
136,2,0
137,2,0
138,2,0
139,1,0
140,1,0
141,1,0
142,3,0
143,1,0
144,2,0
145,0,0
146,3,0
147,0,0
148,2,0
149,2,0
150,2,0
151,1,0
152,5,0
153,2,0
154,3,0
155,3,0
156,4,0
157,3,0
158,2,0
159,5,0
160,4,0
161,5,0
162,1,0
163,6,0
164,4,0
165,5,0
166,5,0
167,2,0
168,2,0
169,5,0
170,2,0
171,3,0
172,2,0
173,5,0
174,2,0
175,4,0
176,1,0
177,6,0
178,2,0
179,3,0
180,3,0
181,2,0
182,4,0
183,4,0
184,2,0
185,1,0
186,4,0
187,0,0
188,1,0
189,0,0
190,2,0
191,2,0
192,3,0
193,1,0
194,3,0
195,2,0
196,1,0
197,2,0
198,2,0
199,3,0
200,2,0
201,2,0
202,2,0
203,2,0
204,2,0
205,4,0
206,1,0
207,3,0
208,2,0
209,4,0
210,2,0
211,3,0
212,2,0
213,3,0
214,3,0
215,5,0
216,2,0
217,4,0
218,3,0
219,1,0
220,2,0
221,4,0
222,4,0
223,2,0
224,0,0
225,2,0
226,3,0
227,2,0
228,2,0
229,2,0
230,2,0
231,3,0
232,1,0
233,1,0
234,2,0
235,0,0
236,3,0
237,1,0
238,1,0
239,3,0
240,2,0
241,2,0
242,2,0
243,2,0
244,0,0
245,4,0
246,1,0
247,1,0
248,3,0
249,2,0
250,1,0
251,2,0
252,1,0
253,2,0
254,2,0
255,3,0
256,2,0
257,2,0
258,1,0
259,1,0
260,2,0
261,3,0
262,1,0
263,2,0
264,2,1
265,2,0
266,0,0
267,2,0
268,4,0
269,0,0
270,2,0
271,1,0
272,2,0
273,1,0
274,0,0
275,0,0
276,0,0
277,1,0
278,1,1
279,1,0
280,1,0
281,3,0
282,0,0
283,2,0
284,0,0
285,2,0
286,2,0
287,2,0
288,2,0
289,2,0
290,1,0
291,1,0
292,1,0
293,3,0
294,2,0
295,1,0
296,1,0
297,1,0
298,1,0
299,3,0
300,4,0
301,2,0
302,1,0
303,3,0
304,2,0
305,2,0
306,1,0
307,0,0
308,2,0
309,3,0
310,1,0
311,2,0
312,1,0
313,2,0
314,2,0
315,2,0
316,2,0
317,1,0
318,2,1
319,2,0
320,1,0
321,3,0
322,1,0
323,1,0
324,1,0
325,1,0
326,1,0
327,2,0
328,1,0
329,1,0
330,1,0
331,2,0
332,1,0
333,1,0
334,1,0
335,1,0
336,1,0
337,0,0
338,1,1
339,1,0
340,1,0
341,1,0
342,2,0
