Frame,RMSD_dock
0,1.5457848
1,1.3445141
2,1.1124982
3,1.3747662
4,1.3184439
5,1.6659452
6,1.7149963
7,1.6190841
8,1.2718664
9,1.5895071
10,2.0655706
11,1.824156
12,1.4144465
13,2.0386443
14,2.2493994
15,2.9378364
16,3.01132
17,3.100168
18,3.0166996
19,2.8957117
20,2.1113353
21,2.1426823
22,2.001191
23,2.074813
24,2.165456
25,2.755085
26,1.9728013
27,1.331336
28,2.1755126
29,2.0450509
30,1.8901341
31,2.1314437
32,2.2190824
33,2.4399123
34,1.5966561
35,1.9208362
36,2.1993036
37,2.0133507
38,2.430181
39,1.8903658
40,2.2497945
41,2.3068736
42,1.8102735
43,2.7725995
44,2.0273554
45,1.6559329
46,1.5667228
47,2.4608543
48,1.913884
49,2.0042305
50,1.8727769
51,1.808674
52,2.7275722
53,2.244666
54,1.9971895
55,2.5491922
56,1.8718878
57,2.1182745
58,2.4669168
59,2.1753929
60,1.7026819
61,1.6469194
62,1.7229298
63,1.8414546
64,1.9410101
65,1.7575608
66,2.2060795
67,2.7408516
68,2.5342798
69,2.7107239
70,2.4970062
71,1.9245651
72,1.9125983
73,1.6610838
74,1.7285224
75,2.600638
76,1.6732395
77,2.6184313
78,2.5297184
79,2.4962037
80,2.104694
81,2.1050537
82,1.4692073
83,1.674388
84,1.9155548
85,1.396919
86,2.2171457
87,1.6265962
88,1.3022805
89,2.0010123
90,1.4499589
91,1.4961785
92,1.6917678
93,1.7997403
94,1.7652436
95,1.8396207
96,1.6621728
97,2.6221013
98,2.3932903
99,1.7956501
100,1.7437723
101,1.2805796
102,1.3123739
103,1.6149858
104,2.3083484
105,1.3768734
106,1.3921126
107,1.1997634
108,1.5972669
109,1.3735371
110,2.470887
111,2.099862
112,1.7125715
113,2.5398088
114,2.204847
115,2.8240275
116,2.6669068
117,2.4081068
118,2.656636
119,2.2144022
120,2.2914462
121,2.5458584
122,1.6106899
123,2.6516209
124,2.6018078
125,2.516292
126,2.4930727
127,2.6446083
128,2.8006463
129,1.6476457
130,2.6349347
131,1.8568593
132,2.4063609
133,1.6620764
134,1.4318457
135,1.6511192
136,2.5375922
137,2.2374096
138,2.206024
139,2.2616515
140,2.6430733
141,2.1842508
142,2.5227609
143,2.408696
144,2.3698404
145,2.0428488
146,2.3614645
147,2.466259
148,2.4393675
149,2.070313
150,2.3103015
151,2.2835097
152,2.3228798
153,2.617295
154,1.9287596
155,1.2766017
156,1.3996029
157,1.9699137
158,1.6093704
159,1.436754
160,2.0343232
161,1.6920842
162,1.2136744
163,1.7759877
164,2.1455705
165,2.220922
166,1.937025
167,2.0917466
168,1.6814553
169,2.1486735
170,2.4111373
171,1.9903781
172,1.9884244
173,1.8665558
174,2.002698
175,1.6393214
176,1.7693554
177,2.1971588
178,1.3416406
179,1.8158438
180,1.6213506
181,2.0114605
182,2.1111379
183,1.6294967
184,2.5458724
185,1.6878518
186,2.0292058
187,1.9608971
188,1.4637945
189,2.6294134
190,2.3658202
191,2.2954593
192,1.7329082
193,2.3786185
194,2.2984648
195,1.7180413
196,2.3924828
197,1.3341384
198,2.791343
199,2.4894876
200,2.2466912
201,2.5658865
202,2.1061413
203,2.4020677
204,2.147775
205,2.5831203
206,2.3968925
207,1.5465674
208,2.7384791
209,2.2774997
210,1.9995706
211,2.076537
212,2.0310714
213,1.6996558
214,1.9108119
215,1.9546769
216,1.9731911
217,2.1217825
218,1.8291789
219,2.1491256
220,2.9775066
221,1.7712288
222,1.8881685
223,1.7327954
224,1.6787597
225,2.2954109
226,2.0338027
227,2.0993218
228,2.1119056
229,2.188173
230,2.2364411
231,1.9978452
232,2.0212271
233,1.9523776
234,2.2039487
235,1.8546321
236,2.6526992
237,2.4282515
238,2.5049531
239,2.2367616
240,2.5479853
241,2.9500008
242,2.396152
243,1.9318672
244,2.007193
245,1.703489
246,1.5262764
247,2.0330758
248,1.9335653
249,1.8266239
250,1.9864497
251,2.0233731
252,2.5221655
253,2.1171849
254,2.3523614
255,2.2942746
256,2.8642328
257,2.8158846
258,3.073603
259,2.7496202
260,2.4736292
261,2.310523
262,2.6257968
263,2.3408985
264,1.9095547
265,2.6895611
266,2.4421697
267,1.8521143
268,2.090549
269,2.9631834
270,2.0967317
271,2.6969674
272,2.2486286
273,2.0582743
274,2.796784
275,2.5850174
276,3.0404913
277,2.360743
278,2.5754411
279,1.9091915
280,2.4124634
281,2.4998534
282,2.6279655
283,2.746717
284,2.7121966
285,2.3996334
286,3.379762
287,2.7352905
288,2.6564076
289,2.289878
290,2.715968
291,2.138298
292,2.4224539
293,2.5029125
294,2.602059
295,2.7326045
296,2.6169019
297,2.9276772
298,2.7320182
299,2.695152
300,2.4195514
301,2.5676503
302,2.4788697
303,2.6219869
304,2.2996802
305,2.4226077
306,2.4419885
307,2.2893744
308,2.2518811
309,2.4250562
310,2.552188
311,2.319639
312,2.3598614
313,2.6649826
314,2.4179404
315,2.7584784
316,2.467182
317,2.2890725
318,2.230006
319,2.4387472
320,2.8742142
321,2.3904753
322,2.4780421
323,2.4397094
324,2.208414
325,2.2065954
326,2.2493553
327,2.1023161
328,2.363885
329,2.0497282
330,2.2437482
331,2.2710392
332,2.4436615
333,2.0856824
334,2.3623385
335,2.2012525
336,2.1215692
337,2.0238855
338,1.8130409
339,2.4426954
340,2.5293078
341,2.2574182
342,2.3448906
343,2.4157705
344,2.093198
345,2.0999403
346,2.5723531
347,2.5136857
348,2.6669981
349,2.5084603
350,2.6288
351,2.531069
352,2.295228
353,2.770492
354,2.5585465
355,2.232177
356,2.6601443
357,2.74128
358,2.435576
359,2.3738334
360,2.317183
361,2.5807521
362,2.0827332
363,2.1007888
364,2.6087523
365,2.6329763
366,2.3565187
367,2.2692897
368,2.4311545
369,2.458236
370,2.552443
371,2.5243254
372,2.6021826
373,2.055894
374,2.2114193
375,2.2606566
376,2.1524305
377,2.1609428
378,2.2040348
379,2.413528
380,2.0675936
381,2.2826312
382,2.3069394
383,2.1165137
384,2.1731935
385,2.6739132
386,2.2608547
387,2.8642397
388,2.3833637
389,2.536049
390,2.6540835
391,2.9223742
392,2.604831
393,2.7104387
394,2.4628503
395,2.469291
396,2.3614268
397,2.6304862
398,2.5590444
399,2.627992
400,2.630484
401,2.834015
402,1.8539346
403,2.653482
404,2.527195
405,2.855949
406,2.3545449
407,2.6274307
408,2.651777
409,2.3273082
410,2.6780736
411,2.5746439
412,2.5852108
413,2.2561994
414,2.293247
415,2.4053717
416,2.8097064
417,2.3282986
418,2.2130296
419,2.3635685
420,2.3915765
421,2.3251407
422,2.5477076
423,2.5184822
424,2.598241
425,2.6288383
426,2.9325535
427,2.7130218
428,2.4648745
429,2.7149167
430,2.5606344
431,2.127605
432,2.2146127
433,2.1324494
434,2.1752112
435,2.3913686
436,2.4749212
437,2.1522164
438,2.4698691
439,2.2028403
440,2.0813253
441,2.2699726
442,2.128755
443,2.6004336
444,2.24215
445,2.392178
446,2.6980042
447,2.1485426
448,2.5312233
449,2.2974448
450,2.5709467
451,2.644206
452,2.3321555
453,2.6294653
454,2.5855975
455,2.5383072
456,2.8653424
457,3.0656683
458,2.886781
459,2.8939683
460,2.973278
461,2.911816
462,3.265703
463,2.829783
464,3.048815
465,3.4788022
466,2.7278986
467,2.820815
468,3.0203667
469,2.6255167
470,2.8734224
471,2.833098
472,3.0554624
473,3.032451
474,2.8567002
475,2.070404
476,2.3927445
477,2.836468
478,2.9529579
479,2.4872944
480,3.097268
481,3.18596
482,2.5477304
483,1.8892227
484,2.874507
485,3.019621
486,3.1254761
487,2.6046526
488,2.5120869
489,2.8205595
490,2.682645
491,2.4921064
492,2.6594446
493,2.5055406
494,2.9251504
495,2.5268292
496,2.39669
497,2.3609061
498,2.1840343
499,2.7707098
500,2.5206494
501,2.410419
502,2.6014194
503,2.3541744
504,2.3663054
505,2.5566366
506,2.3761787
507,2.5687554
508,2.7048283
509,2.50352
510,2.2147305
511,2.5653374
512,2.5698457
513,2.6088223
514,2.289486
515,2.8055866
516,2.6536252
517,2.6539855
518,2.5477722
519,2.625688
520,2.512299
521,2.7709973
522,2.6204607
523,2.6374698
524,3.0297043
525,2.8045468
526,2.6943204
527,2.4323735
528,2.63422
529,2.7587466
530,2.4561455
531,2.6908906
532,2.2269182
533,2.7063982
534,2.8353288
535,2.9707758
536,2.884954
537,3.1180675
538,2.8259718
539,2.9587955
540,3.2057524
541,2.8159273
542,2.7007923
543,3.063238
544,2.785219
545,3.0340648
546,2.8290794
547,2.8125162
548,2.4814365
549,2.8013687
550,2.998207
551,2.983724
552,2.760758
553,2.8715088
554,2.7454371
555,2.9899266
556,2.7575495
557,2.7648919
558,2.7154212
559,3.1816468
560,2.8273437
561,2.87207
562,3.167237
563,2.923963
564,2.657081
565,2.8544104
566,2.5738654
567,3.104831
568,3.2094731
569,2.8908117
570,2.6875794
571,2.6634269
572,2.6639416
573,2.8775332
574,2.9018977
575,2.3957493
576,2.9979005
577,2.6807458
578,2.9064548
579,2.500101
580,2.8543212
581,2.955906
582,2.5418358
583,2.9632847
584,3.1055386
585,3.017375
586,2.5219347
587,2.716761
588,2.9048672
589,2.9121597
590,2.6253479
591,2.3270366
592,2.5234766
593,2.6782649
594,2.2827144
595,2.7245588
596,2.7622664
597,2.928015
598,2.8051198
599,2.8584995
600,2.7083993
601,2.4078403
602,2.7309077
603,2.8933458
604,2.8354466
605,2.2856162
606,2.7138822
607,2.2716072
608,2.7678714
609,2.78879
610,2.742009
611,2.4183319
612,2.7833464
613,2.8936574
614,2.7006667
615,2.8743825
616,2.5220983
617,2.489354
618,2.8565047
619,2.798392
620,3.0557635
621,2.4038062
622,2.799827
623,2.8243651
624,3.007626
625,2.7892005
626,2.838463
627,2.7320633
628,2.8201923
629,2.7588685
630,2.5625536
631,2.2940412
632,2.407896
633,2.522757
634,2.5232985
635,2.6769354
636,2.5702415
637,2.540695
638,2.4007561
639,2.7830226
640,2.4085083
641,2.6918979
642,2.6437545
643,2.2825613
644,2.4942126
645,2.5260496
646,2.5377958
647,2.5664105
648,2.6997893
649,2.7347004
650,2.8082974
651,2.5696492
652,2.5556784
653,2.7350554
654,2.5602112
655,2.5723436
656,2.5666926
657,2.9805977
658,2.619426
659,2.6596062
660,2.7755556
661,2.9606547
662,2.7485363
663,2.743313
664,2.8597305
665,2.5486448
666,2.642531
667,2.8847516
668,2.8126192
669,2.6640773
670,2.6068156
671,2.836403
672,2.7269714
673,2.7157285
674,2.3902175
675,2.6852417
676,2.762888
677,2.5698104
678,2.7038023
679,2.6215696
680,2.8975425
681,2.7886367
682,2.5566294
683,2.9688938
684,2.4968686
685,2.9799705
686,2.7015479
687,2.4241083
688,2.7079077
689,2.6643975
690,2.80857
691,2.6222856
692,2.679179
693,2.7952425
694,2.5781152
695,2.9673743
696,2.6270578
697,2.8513029
698,2.9035225
699,2.6347117
700,2.598832
701,2.8389602
702,2.638882
703,2.5677638
704,2.1628377
705,2.6753983
706,2.6515133
707,2.6477938
708,2.9551456
709,2.8006878
710,2.63847
711,2.6097157
712,2.762393
713,2.8364007
714,2.970064
715,2.852617
716,2.4576888
717,2.661706
718,2.6510298
719,2.8690586
720,2.598368
721,2.480819
722,2.8724144
723,2.7413642
724,2.9291866
725,2.7894905
726,2.949344
727,2.9015996
728,2.5614593
729,2.6456363
730,2.4981332
731,2.647693
732,2.3952506
733,2.566823
734,2.3560438
735,2.838136
736,2.8102689
737,2.974277
738,2.6090758
739,2.7413855
740,2.824755
741,2.577241
742,2.5969539
743,2.4453475
744,2.574734
745,2.659207
746,2.7646964
747,2.502321
748,2.886506
749,2.3978581
750,2.7623377
751,2.6730967
752,2.720341
753,2.614339
754,2.8148618
755,2.7294858
756,2.9916499
757,2.4976335
758,2.5052004
759,2.6073234
760,2.5253494
761,2.425999
762,2.463089
763,2.5577707
764,2.655983
765,2.7033772
766,2.7966022
767,2.7643557
768,2.7830484
769,2.6424809
770,2.7449944
771,2.4354696
772,2.7224617
773,2.4610462
774,2.8181832
775,2.6871486
776,2.6996408
777,2.3807385
778,2.9272218
779,2.656155
780,2.670752
781,2.7210693
782,2.7023299
783,2.9149852
784,2.841983
785,2.6183512
786,3.0041778
787,2.7090716
788,2.27613
789,2.9049613
790,2.469714
791,2.5466335
792,2.437988
793,2.4758346
794,2.4941568
795,2.4869945
796,2.5591817
797,2.7706277
798,3.0136533
799,2.9083033
800,2.9263864
801,2.603828
802,2.8394566
803,2.798317
804,2.7026002
805,3.0673153
806,2.6322415
807,3.0841174
808,2.7469814
809,2.8007581
810,2.8502092
811,2.7262933
812,2.8665292
813,2.5189006
814,2.9648707
815,2.7125802
816,2.5387905
817,2.5847895
818,2.9720397
819,2.9060006
820,2.8638148
821,2.6508691
822,2.7880607
823,2.8944037
824,2.4874473
825,2.5691643
826,2.6039789
827,2.9396613
828,3.0386696
829,2.7888863
830,2.8033652
831,2.9915895
832,2.5511727
833,2.578585
834,2.890978
835,2.5150857
836,3.132646
837,2.5776274
838,3.1800778
839,2.391618
840,2.692212
841,2.6020439
842,2.592228
843,2.5625646
844,2.7003534
845,2.6527462
846,3.0774083
847,2.6240678
848,2.7319076
849,2.8523037
850,2.7781224
851,3.0270019
852,2.8366604
853,2.7126143
854,2.7614543
855,2.8004613
856,2.411025
857,2.5277884
858,2.5219948
859,2.5119047
860,2.652064
861,2.568995
862,2.978293
863,2.873621
864,2.5069222
865,2.5153399
866,2.849124
867,2.7936642
868,2.701903
869,2.5680223
870,2.5702565
871,2.4284263
872,2.8108897
873,2.8880913
874,2.5141263
875,1.8777105
876,2.7704446
877,2.375283
878,2.0784032
879,2.266277
880,2.7673662
881,1.5874889
882,2.0174205
883,1.6756178
884,2.3895633
885,2.54267
886,2.2992315
887,2.3467958
888,1.9271247
889,2.7324028
890,2.403197
891,2.281539
892,1.3100889
893,2.8472729
894,1.8872436
895,2.353197
896,2.9221704
897,2.6284227
898,2.1857886
899,3.035418
900,2.0460978
901,2.2757275
902,2.7207637
903,2.3874433
904,2.3998473
905,2.2964642
906,2.3822062
907,2.6969342
908,2.7923415
909,2.3170059
910,2.538767
911,2.3412905
912,2.4748232
913,2.3394175
914,2.2607532
915,2.554354
916,1.9743134
917,2.0376968
918,2.197135
919,2.2647657
920,2.4683928
921,2.676485
922,2.4891114
923,2.3587227
924,2.7040906
925,2.666123
926,2.5571198
927,2.525373
928,2.2738051
929,2.6767802
930,2.117265
931,2.1414995
932,2.722703
933,2.7898626
934,3.0095396
935,2.6073298
936,2.49542
937,2.109901
938,2.068853
939,2.3723571
940,1.8885819
941,2.3203878
942,2.281935
943,2.3979926
944,2.3035495
945,2.3092353
946,2.7276807
947,2.3019645
948,2.523104
949,2.3924785
950,2.8229275
951,2.3916507
952,2.4193463
953,2.3618438
954,2.055631
955,2.3533747
956,2.3171146
957,2.085392
958,2.3310513
959,2.0325024
960,2.8912728
961,2.426399
962,2.2483845
963,2.4975922
964,2.7200475
965,2.5398233
966,2.6683178
967,2.674237
968,2.9895627
969,2.8227122
970,2.8292618
971,2.2732158
972,2.5630653
973,2.6385596
974,2.517153
975,2.7324476
976,3.033389
977,2.5812201
978,2.4494057
979,2.2274966
980,2.4514382
981,2.9732218
