Frame,RMSD_noFit_frame0
0,1.8194697
1,1.884659
2,1.8795041
3,1.820551
4,2.0446258
5,2.092449
6,2.0074046
7,1.7647644
8,1.8185557
9,1.4276443
10,1.1954088
11,2.0364325
12,1.8271302
13,1.4404931
14,1.2901584
15,1.9263921
16,2.0551186
17,2.1980584
18,1.9558719
19,1.9137956
20,1.4325166
21,1.0019243
22,1.1102012
23,1.5671803
24,1.299487
25,1.9752477
26,1.1608362
27,1.260029
28,1.4061527
29,1.6589947
30,1.3054928
31,1.665415
32,1.6010315
33,1.6648426
34,1.1786375
35,1.2509369
36,1.2535635
37,1.061006
38,1.2666656
39,1.2023642
40,1.3225374
41,1.0349635
42,0.67919075
43,1.5871263
44,0.996285
45,0.7580242
46,0.78176653
47,1.5100963
48,1.120413
49,1.3032787
50,1.1947212
51,0.8329331
52,1.5947406
53,1.7407389
54,0.8775615
55,1.7214736
56,0.9911135
57,1.2224184
58,1.689881
59,1.3902158
60,0.6738399
61,1.2133529
62,1.0436509
63,0.76279247
64,1.0526904
65,0.683831
66,1.2023777
67,1.6872972
68,1.469634
69,1.8169565
70,1.726873
71,1.3137695
72,1.1641171
73,1.3124676
74,1.5344999
75,1.636794
76,1.4106293
77,1.6156147
78,1.5332592
79,1.6513572
80,1.1243411
81,1.265923
82,0.7452886
83,0.760034
84,1.0080249
85,0.6877193
86,1.3513441
87,0.6678751
88,0.87192327
89,1.1177111
90,1.0556269
91,0.78804296
92,0.5130193
93,0.9526811
94,1.1923342
95,0.9989114
96,0.87689775
97,1.6854396
98,1.7019029
99,0.37935153
100,0.0
101,0.7925638
102,0.79064137
103,0.5256822
104,1.2251618
105,0.6617244
106,0.8224724
107,1.1309329
108,0.84872025
109,0.8193386
110,1.3830898
111,1.3478869
112,1.1371487
113,1.5587667
114,1.1877027
115,2.0811253
116,1.8429064
117,1.360343
118,1.7461411
119,1.7717113
120,1.7695595
121,1.7420578
122,1.2309989
123,1.7937847
124,2.1183994
125,1.8396266
126,1.7713176
127,1.9348842
128,2.2644942
129,1.3805275
130,2.0864418
131,0.9607576
132,1.8700734
133,0.95303583
134,1.2469351
135,0.88779134
136,2.2186532
137,1.5571185
138,1.2932218
139,1.4532267
140,1.9054072
141,1.2576673
142,1.7818112
143,1.9552804
144,1.2409974
145,1.1179106
146,1.7067844
147,1.3756621
148,1.5336522
149,1.3268532
150,1.4162536
151,1.479666
152,1.445468
153,1.7775049
154,1.3445221
155,1.0217566
156,0.8716755
157,1.2795972
158,1.0344541
159,0.6252374
160,1.3609194
161,1.2352076
162,0.7907769
163,0.9304934
164,1.4310956
165,1.376032
166,1.0865731
167,1.432487
168,1.1616774
169,1.4454334
170,1.2625225
171,0.940357
172,0.84887433
173,1.1087955
174,0.9099565
175,0.92164326
176,0.44118476
177,1.2800016
178,1.1002622
179,1.0147763
180,1.0198773
181,1.4052967
182,1.200049
183,1.297779
184,1.4545405
185,0.9376459
186,1.2035898
187,0.9114656
188,0.9425717
189,1.721411
190,1.4485488
191,1.386685
192,0.89582545
193,1.6311706
194,1.1553625
195,1.2494088
196,1.6277614
197,0.977267
198,2.0033426
199,1.694536
200,1.4003356
201,1.2741296
202,1.2759538
203,1.5665035
204,1.2164992
205,1.1935782
206,1.3408022
207,1.1588337
208,1.8774334
209,1.101555
210,1.1950281
211,1.5736775
212,1.339277
213,1.0816972
214,1.3880308
215,1.550691
216,1.4922507
217,1.8062491
218,1.454008
219,1.5527625
220,2.4493067
221,1.5764728
222,1.5617858
223,1.5201186
224,1.4992989
225,1.5843427
226,1.6134586
227,1.3005065
228,1.4213401
229,2.1346688
230,1.9820184
231,1.5187577
232,1.7105227
233,1.3093085
234,1.8272778
235,1.5165151
236,1.8322078
237,1.5474772
238,1.6365856
239,1.4874164
240,1.5957298
241,1.751911
242,1.336163
243,1.5748782
244,0.6994415
245,2.0176392
